"chart_position","chart_date","song","performer","song_id"
67,2019-07-13,"Don't Check On Me","Chris Brown Featuring Justin Bieber & Ink","Don't Check On MeChris Brown Featuring Justin Bieber & Ink"
78,2019-07-13,"When I Grow Up","NF","When I Grow UpNF"
75,2019-07-20,"Costa Rica","Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God","Costa RicaDreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God"
99,2019-07-27,"Best Part Of Me","Ed Sheeran Featuring YEBBA","Best Part Of MeEd Sheeran Featuring YEBBA"
90,2019-07-27,"Like A Rodeo","Kane Brown","Like A RodeoKane Brown"
57,2019-07-27,"Remember The Name","Ed Sheeran Featuring Eminem & 50 Cent","Remember The NameEd Sheeran Featuring Eminem & 50 Cent"
98,2019-07-27,"Spirit","Beyonce","SpiritBeyonce"
76,2019-08-03,"Brown Skin Girl","Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter","Brown Skin GirlBeyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter"
90,2019-08-03,"Mood 4 Eva","Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare","Mood 4 EvaBeyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare"
94,2019-08-10,"All Day Long","Chance The Rapper Featuring John Legend","All Day LongChance The Rapper Featuring John Legend"
95,2019-08-10,"Do You Remember","Chance The Rapper Featuring Death Cab For Cutie","Do You RememberChance The Rapper Featuring Death Cab For Cutie"
85,2019-08-10,"Leave Me Alone","NF","Leave Me AloneNF"
85,2019-08-17,"Club Paradise","Drake","Club ParadiseDrake"
95,2019-08-17,"Days In The East","Drake","Days In The EastDrake"
68,2019-08-17,"Dreams Money Can Buy","Drake","Dreams Money Can BuyDrake"
93,2019-08-17,"Fear Inoculum","Tool","Fear InoculumTool"
60,2019-08-17,"How About Now","Drake","How About NowDrake"
61,2019-08-17,"The Motion","Drake","The MotionDrake"
58,2019-08-17,"Trust Issues","Drake","Trust IssuesDrake"
84,2019-08-24,"Night Falls","Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair","Night FallsDove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair"
81,2019-08-24,"Small Talk","Katy Perry","Small TalkKaty Perry"
87,2019-08-24,"Snake Skin","Trippie Redd","Snake SkinTrippie Redd"
92,2019-08-31,"Ecstasy","Young Thug Featuring Machine Gun Kelly","EcstasyYoung Thug Featuring Machine Gun Kelly"
60,2019-08-31,"Just How It Is","Young Thug","Just How It IsYoung Thug"
82,2019-08-31,"Light It Up","Young Thug","Light It UpYoung Thug"
84,2019-08-31,"Lil Baby","Young Thug","Lil BabyYoung Thug"
70,2019-08-31,"Sup Mate","Young Thug Featuring Future","Sup MateYoung Thug Featuring Future"
61,2019-08-31,"Surf","Young Thug Featuring Gunna","SurfYoung Thug Featuring Gunna"
55,2019-08-31,"What's The Move","Young Thug Featuring Lil Uzi Vert","What's The MoveYoung Thug Featuring Lil Uzi Vert"
75,2019-08-31,"Won't Be Late","Swae Lee Featuring Drake","Won't Be LateSwae Lee Featuring Drake"
75,2019-09-07,"Afterglow","Taylor Swift","AfterglowTaylor Swift"
57,2019-09-07,"Cornelia Street","Taylor Swift","Cornelia StreetTaylor Swift"
89,2019-09-07,"Daylight","Taylor Swift","DaylightTaylor Swift"
67,2019-09-07,"Death By A Thousand Cuts","Taylor Swift","Death By A Thousand CutsTaylor Swift"
77,2019-09-07,"False God","Taylor Swift","False GodTaylor Swift"
51,2019-09-07,"I Think He Knows","Taylor Swift","I Think He KnowsTaylor Swift"
92,2019-09-07,"It's Nice To Have A Friend","Taylor Swift","It's Nice To Have A FriendTaylor Swift"
62,2019-09-07,"London Boy","Taylor Swift","London BoyTaylor Swift"
49,2019-09-07,"Miss Americana & The Heartbreak Prince","Taylor Swift","Miss Americana & The Heartbreak PrinceTaylor Swift"
45,2019-09-07,"Paper Rings","Taylor Swift","Paper RingsTaylor Swift"
63,2019-09-07,"Soon You'll Get Better","Taylor Swift Featuring Dixie Chicks","Soon You'll Get BetterTaylor Swift Featuring Dixie Chicks"
69,2019-09-14,"Babushka Boi","A$AP Rocky","Babushka BoiA$AP Rocky"
89,2019-09-14,"Bezerk","Big Sean Featuring A$AP Ferg & Hit-Boy","BezerkBig Sean Featuring A$AP Ferg & Hit-Boy"
94,2019-09-14,"God Only Knows","for KING & COUNTRY","God Only Knowsfor KING & COUNTRY"
97,2019-09-14,"Love Me","Lil Tecca","Love MeLil Tecca"
80,2019-09-14,"Out Of Luck","Lil Tecca","Out Of LuckLil Tecca"
84,2019-09-14,"Shots","Lil Tecca","ShotsLil Tecca"
53,2019-09-21,"I Know","Post Malone","I KnowPost Malone"
58,2019-09-21,"Internet","Post Malone","InternetPost Malone"
52,2019-09-21,"Myself","Post Malone","MyselfPost Malone"
97,2019-09-28,"1, 2 Many","Luke Combs & Brooks & Dunn","1, 2 ManyLuke Combs & Brooks & Dunn"
76,2019-09-28,"Mood Swings","A Boogie Wit da Hoodie","Mood SwingsA Boogie Wit da Hoodie"
86,2019-10-12,"By My Lonely","Kevin Gates","By My LonelyKevin Gates"
81,2019-10-12,"Chicken Noodle Soup","j-hope Featuring Becky G.","Chicken Noodle Soupj-hope Featuring Becky G."
55,2019-10-12,"GOSPEL","DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris","GOSPELDaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris"
47,2019-10-12,"OFF THE RIP","DaBaby","OFF THE RIPDaBaby"
73,2019-10-12,"PROLLY HEARD","DaBaby","PROLLY HEARDDaBaby"
63,2019-10-12,"REALLY","DaBaby Featuring Stunna 4 Vegas","REALLYDaBaby Featuring Stunna 4 Vegas"
89,2019-10-12,"There He Go","DaBaby","There He GoDaBaby"
69,2019-10-12,"XXL","DaBaby","XXLDaBaby"
43,2019-10-12,"iPHONE","DaBaby & Nicki Minaj","iPHONEDaBaby & Nicki Minaj"
73,2019-10-19,"Body","Summer Walker","BodySummer Walker"
79,2019-10-19,"Drunk Dialing...LODT","Summer Walker","Drunk Dialing...LODTSummer Walker"
80,2019-10-19,"Over It","Summer Walker","Over ItSummer Walker"
92,2019-10-19,"Potential","Summer Walker","PotentialSummer Walker"
68,2019-10-19,"Stretch You Out","Summer Walker Featuring A Boogie Wit da Hoodie","Stretch You OutSummer Walker Featuring A Boogie Wit da Hoodie"
79,2019-10-26,"Time I'm On","YoungBoy Never Broke Again","Time I'm OnYoungBoy Never Broke Again"
98,2019-11-02,"DHL","Frank Ocean","DHLFrank Ocean"
76,2019-11-02,"Make It Right","BTS Featuring Lauv","Make It RightBTS Featuring Lauv"
45,2019-11-09,"Every Hour","Kanye West Featuring Sunday Service Choir","Every HourKanye West Featuring Sunday Service Choir"
33,2019-11-09,"Everything We Need","Kanye West Featuring Ty Dolla $ign & Ant Clemons","Everything We NeedKanye West Featuring Ty Dolla $ign & Ant Clemons"
36,2019-11-09,"God Is","Kanye West","God IsKanye West"
60,2019-11-09,"Hands On","Kanye West Featuring Fred Hammond","Hands OnKanye West Featuring Fred Hammond"
63,2019-11-09,"Jesus Is Lord","Kanye West","Jesus Is LordKanye West"
37,2019-11-09,"Use This Gospel","Kanye West Featuring Clipse & Kenny G","Use This GospelKanye West Featuring Clipse & Kenny G"
51,2019-11-09,"Water","Kanye West Featuring Ant Clemons","WaterKanye West Featuring Ant Clemons"
100,2019-11-16,"Big Boy Diamonds","Gucci Mane Featuring Kodak Black & London On Da Track","Big Boy DiamondsGucci Mane Featuring Kodak Black & London On Da Track"
90,2019-11-16,"For My Daughter","Kane Brown","For My DaughterKane Brown"
85,2019-11-16,"In My Room","Frank Ocean","In My RoomFrank Ocean"
90,2019-11-23,"Show Me Love","Alicia Keys Featuring Miguel","Show Me LoveAlicia Keys Featuring Miguel"
92,2019-11-23,"Valentino","24kGoldn","Valentino24kGoldn"
87,2019-11-30,"Beauty In The Benz","Tory Lanez Featuring Snoop Dogg","Beauty In The BenzTory Lanez Featuring Snoop Dogg"
99,2019-11-30,"Hell Right","Blake Shelton Featuring Trace Adkins","Hell RightBlake Shelton Featuring Trace Adkins"
66,2019-11-30,"The Take","Tory Lanez Featuring Chris Brown","The TakeTory Lanez Featuring Chris Brown"
89,2019-11-30,"Up All Night","Khalid","Up All NightKhalid"
84,2019-12-07,"Hate Me","Trippie Redd Featuring YoungBoy Never Broke Again","Hate MeTrippie Redd Featuring YoungBoy Never Broke Again"
85,2019-12-21,"Bad Vibes Forever","XXXTENTACION Featuring PnB Rock & Trippie Redd","Bad Vibes ForeverXXXTENTACION Featuring PnB Rock & Trippie Redd"
98,2019-12-21,"Big Stepper","Roddy Ricch","Big StepperRoddy Ricch"
59,2019-12-21,"Christmas Tree Farm","Taylor Swift","Christmas Tree FarmTaylor Swift"
97,2019-12-21,"Lord Above","Fat Joe & Dre Featuring Eminem & Mary J. Blige","Lord AboveFat Joe & Dre Featuring Eminem & Mary J. Blige"
84,2019-12-28,"Cherry","Harry Styles","CherryHarry Styles"
67,2019-12-28,"Dirty Iyanna","YoungBoy Never Broke Again","Dirty IyannaYoungBoy Never Broke Again"
62,2019-12-28,"Falling","Harry Styles","FallingHarry Styles"
83,2019-12-28,"Famous Hoes","NLE Choppa","Famous HoesNLE Choppa"
99,2019-12-28,"She","Harry Styles","SheHarry Styles"
