"chart_position","chart_date","song","performer","song_id"
65,2012-05-12,"How Will I Know","Glee Cast","How Will I KnowGlee Cast"
92,2012-05-12,"It's Not Right But It's Okay","Glee Cast","It's Not Right But It's OkayGlee Cast"
70,2012-05-19,"It's A Man's, Man's, Man's World","Juliet Simms","It's A Man's, Man's, Man's WorldJuliet Simms"
71,2012-05-19,"Shake It Out","Glee Cast","Shake It OutGlee Cast"
58,2012-05-26,"99 Problems","Tony Lucca","99 ProblemsTony Lucca"
83,2012-05-26,"I Believe I Can Fly","Jermaine Paul","I Believe I Can FlyJermaine Paul"
85,2012-05-26,"The Prayer","Christina Aguilera & Chris Mann","The PrayerChristina Aguilera & Chris Mann"
60,2012-05-26,"Turn To You (Mother's Day Dedication)","Justin Bieber","Turn To You (Mother's Day Dedication)Justin Bieber"
68,2012-05-26,"Yesterday","Adam Levine & Tony Lucca","YesterdayAdam Levine & Tony Lucca"
76,2012-06-09,"Around My Way (Freedom Ain't Free)","Lupe Fiasco","Around My Way (Freedom Ain't Free)Lupe Fiasco"
90,2012-06-09,"Undefeated","Jason Derulo","UndefeatedJason Derulo"
97,2012-06-09,"We've Got Tonight","Phillip Phillips","We've Got TonightPhillip Phillips"
85,2012-06-16,"I'm All Yours","Jay Sean Featuring Pitbull","I'm All YoursJay Sean Featuring Pitbull"
72,2012-06-23,"Get Low","Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida","Get LowWaka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida"
95,2012-07-07,"Right Here","Justin Bieber Featuring Drake","Right HereJustin Bieber Featuring Drake"
95,2012-07-14,"Lost In The Echo","Linkin Park","Lost In The EchoLinkin Park"
97,2012-07-14,"Windows Down","Big Time Rush","Windows DownBig Time Rush"
80,2012-07-14,"Wipe Your Eyes","Maroon 5","Wipe Your EyesMaroon 5"
77,2012-08-04,"Go Get It","T.I.","Go Get ItT.I."
95,2012-08-04,"Mercy","Dave Matthews Band","MercyDave Matthews Band"
89,2012-08-11,"New God Flow","Pusha T Kanye West","New God FlowPusha T Kanye West"
79,2012-08-18,"New Day","50 Cent Featuring Dr. Dre & Alicia Keys","New Day50 Cent Featuring Dr. Dre & Alicia Keys"
92,2012-09-01,"Lamborghini Angels","Lupe Fiasco","Lamborghini AngelsLupe Fiasco"
80,2012-09-01,"Yuck!","2 Chainz Featuring Lil Wayne","Yuck!2 Chainz Featuring Lil Wayne"
98,2012-09-08,"Throw That","Slaughterhouse Featuring Eminem","Throw ThatSlaughterhouse Featuring Eminem"
95,2012-09-29,"It's Time","Glee Cast","It's TimeGlee Cast"
86,2012-09-29,"This Kiss","Carly Rae Jepsen","This KissCarly Rae Jepsen"
87,2012-10-06,"Beautiful","Carly Rae Jepsen Featuring Justin Bieber","BeautifulCarly Rae Jepsen Featuring Justin Bieber"
97,2012-10-20,"Lover Of The Light","Mumford & Sons","Lover Of The LightMumford & Sons"
91,2012-10-20,"The Scientist","Glee Cast","The ScientistGlee Cast"
13,2012-11-03,"State Of Grace","Taylor Swift","State Of GraceTaylor Swift"
80,2012-11-10,"All Too Well","Taylor Swift","All Too WellTaylor Swift"
92,2012-11-10,"Fade Into You","Sam Palladio & Clare Bowen","Fade Into YouSam Palladio & Clare Bowen"
65,2012-11-10,"I Almost Do","Taylor Swift","I Almost DoTaylor Swift"
91,2012-11-10,"Stay Stay Stay","Taylor Swift","Stay Stay StayTaylor Swift"
86,2012-12-08,"Seven Nation Army","Melanie Martinez","Seven Nation ArmyMelanie Martinez"
97,2012-12-08,"Stars","Amanda Brown","StarsAmanda Brown"
95,2012-12-08,"Stars","Grace Potter & The Nocturnals","StarsGrace Potter & The Nocturnals"
95,2012-12-15,"Are You Happy Now?","Cassadee Pope","Are You Happy Now?Cassadee Pope"
94,2012-12-15,"Too Close","Melanie Martinez","Too CloseMelanie Martinez"
84,2012-12-22,"I Want To Know What Love Is","Terry McDermott","I Want To Know What Love IsTerry McDermott"
87,2012-12-22,"Let It Go","Wiz Khalifa Featuring Akon","Let It GoWiz Khalifa Featuring Akon"
96,2012-12-22,"Somewhere Over The Rainbow","Nicholas David","Somewhere Over The RainbowNicholas David"
70,2012-12-29,"Let It Be","Terry McDermott","Let It BeTerry McDermott"
40,2012-12-29,"Stupid Boy","Cassadee Pope","Stupid BoyCassadee Pope"
60,2013-01-05,"Cry","Cassadee Pope","CryCassadee Pope"
98,2013-01-12,"Rock Me","One Direction","Rock MeOne Direction"
97,2013-01-19,"On My Own","Samantha Barks","On My OwnSamantha Barks"
64,2013-01-26,"The Moment I Knew","Taylor Swift","The Moment I KnewTaylor Swift"
86,2013-02-02,"Long Live A$AP","A$AP Rocky","Long Live A$APA$AP Rocky"
90,2013-02-09,"Bad Ass","Kid Ink Featuring Meek Mill & Wale","Bad AssKid Ink Featuring Meek Mill & Wale"
98,2013-02-16,"As Long As You Love Me (Acoustic)","Justin Bieber","As Long As You Love Me (Acoustic)Justin Bieber"
91,2013-02-16,"Let Me Love You (Until You Learn To Love Yourself)","Glee Cast","Let Me Love You (Until You Learn To Love Yourself)Glee Cast"
60,2013-02-16,"Yolo","The Lonely Island Featuring Adam Levine & Kendrick Lamar","YoloThe Lonely Island Featuring Adam Levine & Kendrick Lamar"
96,2013-03-02,"She Don't Put It Down","Joe Budden Featuring Lil Wayne & Tank","She Don't Put It DownJoe Budden Featuring Lil Wayne & Tank"
94,2013-03-16,"It's A Beautiful Day","Michael Buble","It's A Beautiful DayMichael Buble"
90,2013-03-30,"So Many Girls","DJ Drama Featuring Wale, Tyga & Roscoe Dash","So Many GirlsDJ Drama Featuring Wale, Tyga & Roscoe Dash"
80,2013-04-13,"The Phoenix","Fall Out Boy","The PhoenixFall Out Boy"
60,2013-04-20,"Pom Poms","Jonas Brothers","Pom PomsJonas Brothers"
77,2013-04-27,"Accidental Racist","Brad Paisley Featuring LL Cool J","Accidental RacistBrad Paisley Featuring LL Cool J"
92,2013-04-27,"Just Keep Breathing","WE the Kings","Just Keep BreathingWE the Kings"
58,2013-05-04,"Fall Down","will.i.am Featuring Miley Cyrus","Fall Downwill.i.am Featuring Miley Cyrus"
97,2013-05-18,"Sexy People (The Fiat Song)","Arianna Featuring Pitbull","Sexy People (The Fiat Song)Arianna Featuring Pitbull"
90,2013-05-25,"Tonight I'm Getting Over You","Carly Rae Jepsen Featuring Nicki Minaj","Tonight I'm Getting Over YouCarly Rae Jepsen Featuring Nicki Minaj"
93,2013-06-01,"I Am Beautiful","Candice Glover","I Am BeautifulCandice Glover"
91,2013-06-08,"Heads Carolina, Tails California","Danielle Bradbery","Heads Carolina, Tails CaliforniaDanielle Bradbery"
89,2013-06-15,"Grandpa (Tell Me 'Bout The Good Old Days)","Danielle Bradbery","Grandpa (Tell Me 'Bout The Good Old Days)Danielle Bradbery"
85,2013-06-22,"I Knew You Were Trouble","Michelle Chamuel","I Knew You Were TroubleMichelle Chamuel"
88,2013-06-29,"I Got You","Jack Johnson","I Got YouJack Johnson"
91,2013-06-29,"Please Remember Me","Danielle Bradbery","Please Remember MeDanielle Bradbery"
92,2013-06-29,"Sad","Amber Carrington","SadAmber Carrington"
90,2013-06-29,"Turn The Page","The Swon Brothers","Turn The PageThe Swon Brothers"
78,2013-06-29,"Who I Am","Danielle Bradbery","Who I AmDanielle Bradbery"
75,2013-07-06,"Born To Fly","Danielle Bradbery","Born To FlyDanielle Bradbery"
99,2013-07-06,"I Can't Tell You Why","The Swon Brothers","I Can't Tell You WhyThe Swon Brothers"
98,2013-07-06,"One","Usher & Michelle Chamuel","OneUsher & Michelle Chamuel"
77,2013-07-06,"Paper Doll","John Mayer","Paper DollJohn Mayer"
92,2013-07-06,"Why","Michelle Chamuel","WhyMichelle Chamuel"
100,2013-07-20,"Live For The Night","Krewella","Live For The NightKrewella"
100,2013-07-27,"Crown","JAY-Z","CrownJAY-Z"
83,2013-07-27,"Oceans","Jay Z Featuring Frank Ocean","OceansJay Z Featuring Frank Ocean"
91,2013-07-27,"Picasso Baby","JAY-Z","Picasso BabyJAY-Z"
68,2013-08-03,"Miss Jackson","Panic! At The Disco Featuring Lolo","Miss JacksonPanic! At The Disco Featuring Lolo"
59,2013-08-24,"Hopeless Wanderer","Mumford & Sons","Hopeless WandererMumford & Sons"
87,2013-08-31,"This Is Gospel","Panic! At The Disco","This Is GospelPanic! At The Disco"
94,2013-08-31,"We Own The Night","The Wanted","We Own The NightThe Wanted"
96,2013-08-31,"Your Side Of The Bed","Little Big Town","Your Side Of The BedLittle Big Town"
96,2013-09-07,"Helluva Night","Ludacris","Helluva NightLudacris"
42,2013-09-14,"Oh Sweet Lorraine","Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh","Oh Sweet LorraineGreen Shoe Studio Featuring Jacob Colgan & Fred Stobaugh"
91,2013-09-14,"Rock N Roll","Avril Lavigne","Rock N RollAvril Lavigne"
100,2013-09-21,"Act Right","Yo Gotti Featuring Jeezy & YG","Act RightYo Gotti Featuring Jeezy & YG"
99,2013-09-21,"Versace","Migos","VersaceMigos"
94,2013-09-28,"I Do It","2 Chainz Featuring Drake & Lil Wayne","I Do It2 Chainz Featuring Drake & Lil Wayne"
99,2013-09-28,"Reflektor","Arcade Fire","ReflektorArcade Fire"
65,2013-10-05,"A Light That Never Comes","Linkin Park X Steve Aoki","A Light That Never ComesLinkin Park X Steve Aoki"
78,2013-10-05,"Monster","Imagine Dragons","MonsterImagine Dragons"
96,2013-10-05,"This Is What It Feels Like","Armin van Buuren Featuring Trevor Guthrie","This Is What It Feels LikeArmin van Buuren Featuring Trevor Guthrie"
85,2013-10-05,"You Make Me","Avicii","You Make MeAvicii"
87,2013-10-12,"Come Thru","Drake","Come ThruDrake"
78,2013-10-12,"Own It","Drake","Own ItDrake"
64,2013-10-12,"Too Much","Drake","Too MuchDrake"
81,2013-10-12,"Tuscan Leather","Drake","Tuscan LeatherDrake"
18,2013-10-19,"Gone","Kanye West Featuring Cam'ron & Consequence","GoneKanye West Featuring Cam'ron & Consequence"
34,2013-10-19,"Walking On Air","Katy Perry","Walking On AirKaty Perry"
87,2013-10-26,"Drive","Miley Cyrus","DriveMiley Cyrus"
84,2013-10-26,"Make You Feel My Love","Glee Cast","Make You Feel My LoveGlee Cast"
76,2013-10-26,"Sirens","Pearl Jam","SirensPearl Jam"
93,2013-10-26,"Someone Else","Miley Cyrus","Someone ElseMiley Cyrus"
29,2013-11-02,"Chinese Food","Alison Gold","Chinese FoodAlison Gold"
29,2013-11-09,"Hold Tight","Justin Bieber","Hold TightJustin Bieber"
34,2013-11-09,"Sweeter Than Fiction","Taylor Swift","Sweeter Than FictionTaylor Swift"
68,2013-11-09,"Wait For A Minute","Tyga & Justin Bieber","Wait For A MinuteTyga & Justin Bieber"
41,2013-11-16,"Recovery","Justin Bieber","RecoveryJustin Bieber"
32,2013-11-16,"Venus","Lady Gaga","VenusLady Gaga"
72,2013-11-23,"A Case Of You","James Wolpert","A Case Of YouJames Wolpert"
53,2013-11-23,"Bad Day","Justin Bieber","Bad DayJustin Bieber"
99,2013-11-23,"Beautiful Pain","Eminem Featuring Sia","Beautiful PainEminem Featuring Sia"
50,2013-11-30,"All Bad","Justin Bieber","All BadJustin Bieber"
11,2013-12-07,"Diana","One Direction","DianaOne Direction"
96,2013-12-07,"Last Christmas","Ariana Grande","Last ChristmasAriana Grande"
54,2013-12-07,"PYD","Justin Bieber Featuring R. Kelly","PYDJustin Bieber Featuring R. Kelly"
87,2013-12-07,"Strong","One Direction","StrongOne Direction"
83,2013-12-14,"At Last","Will Champlin","At LastWill Champlin"
47,2013-12-14,"Roller Coaster","Justin Bieber","Roller CoasterJustin Bieber"
96,2013-12-21,"All The Way Home","Tamar Braxton","All The Way HomeTamar Braxton"
59,2013-12-21,"Change Me","Justin Bieber","Change MeJustin Bieber"
86,2013-12-21,"I. Crawl","Childish Gambino","I. CrawlChildish Gambino"
87,2013-12-28,"Angel","Jacquie Lee","AngelJacquie Lee"
64,2013-12-28,"Bridge Over Troubled Water","Tessanne Chin","Bridge Over Troubled WaterTessanne Chin"
75,2013-12-28,"Cannonball","Lea Michele","CannonballLea Michele"
89,2013-12-28,"My Story","R. Kelly Featuring 2 Chainz","My StoryR. Kelly Featuring 2 Chainz"
55,2013-12-28,"Saturday","Rebecca Black & Dave Days","SaturdayRebecca Black & Dave Days"
51,2014-01-04,"I Have Nothing","Tessanne Chin","I Have NothingTessanne Chin"
76,2014-01-04,"Let It Be","Tessanne Chin & Adam Levine","Let It BeTessanne Chin & Adam Levine"
88,2014-01-25,"You Sound Good To Me","Lucy Hale","You Sound Good To MeLucy Hale"
85,2014-02-08,"El Perdedor","Enrique Iglesias Featuring Marco Antonio Solis","El PerdedorEnrique Iglesias Featuring Marco Antonio Solis"
89,2014-02-15,"A Man Who Was Gonna Die Young","Eric Church","A Man Who Was Gonna Die YoungEric Church"
60,2014-02-15,"Follow Your Arrow","Kacey Musgraves","Follow Your ArrowKacey Musgraves"
80,2014-03-01,"Achy Breaky 2","Buck 22 Featuring Billy Ray Cyrus","Achy Breaky 2Buck 22 Featuring Billy Ray Cyrus"
100,2014-03-01,"Explosions","Ellie Goulding","ExplosionsEllie Goulding"
88,2014-03-01,"You're Mine (Eternal)","Mariah Carey","You're Mine (Eternal)Mariah Carey"
94,2014-03-22,"Adrenalina","Wisin Featuring Jennifer Lopez & Ricky Martin","AdrenalinaWisin Featuring Jennifer Lopez & Ricky Martin"
78,2014-03-22,"Sanctified","Rick Ross Featuring Kanye West & Big Sean","SanctifiedRick Ross Featuring Kanye West & Big Sean"
86,2014-03-22,"The Devil Is A Lie","Rick Ross Featuring Jay-Z","The Devil Is A LieRick Ross Featuring Jay-Z"
9,2014-03-29,"We Might Be Dead By Tomorrow","Soko","We Might Be Dead By TomorrowSoko"
76,2014-04-12,"G.U.Y.","Lady Gaga","G.U.Y.Lady Gaga"
95,2014-04-26,"Bad Blood","Bastille","Bad BloodBastille"
75,2014-05-10,"Hello Kitty","Avril Lavigne","Hello KittyAvril Lavigne"
92,2014-05-10,"Stay With Me","Josh Kaufman","Stay With MeJosh Kaufman"
74,2014-05-17,"Hold On, We're Going Home","Christina Grimmie","Hold On, We're Going HomeChristina Grimmie"
87,2014-05-17,"My Baby's Guns N' Roses","Brantley Gilbert","My Baby's Guns N' RosesBrantley Gilbert"
100,2014-05-17,"The Big Bang","Katy Tiz","The Big BangKaty Tiz"
90,2014-05-24,"17 Again","Brantley Gilbert","17 AgainBrantley Gilbert"
79,2014-05-24,"How To Love","Christina Grimmie","How To LoveChristina Grimmie"
71,2014-05-24,"I Can't Make You Love Me","Josh Kaufman","I Can't Make You Love MeJosh Kaufman"
98,2014-05-31,"Heaven","Jake Worthington","HeavenJake Worthington"
87,2014-05-31,"One","Ed Sheeran","OneEd Sheeran"
74,2014-06-07,"Can't Help Falling In Love","Christina Grimmie","Can't Help Falling In LoveChristina Grimmie"
92,2014-06-07,"Leave Your Lover","Sam Smith","Leave Your LoverSam Smith"
45,2014-06-07,"Slave To The Rhythm","Michael Jackson","Slave To The RhythmMichael Jackson"
66,2014-06-07,"Somebody That I Used To Know","Christina Grimmie & Adam Levine","Somebody That I Used To KnowChristina Grimmie & Adam Levine"
79,2014-06-14,"Shades Of Cool","Lana Del Rey","Shades Of CoolLana Del Rey"
90,2014-06-14,"XO","John Mayer","XOJohn Mayer"
70,2014-06-21,"Ultraviolence","Lana Del Rey","UltraviolenceLana Del Rey"
26,2014-06-28,"Hangover","PSY Featuring Snoop Dogg","HangoverPSY Featuring Snoop Dogg"
37,2014-07-05,"Afire Love","Ed Sheeran","Afire LoveEd Sheeran"
28,2014-07-05,"Kiss Me Kiss Me","5 Seconds Of Summer","Kiss Me Kiss Me5 Seconds Of Summer"
82,2014-07-12,"Get Her Back","Robin Thicke","Get Her BackRobin Thicke"
94,2014-07-19,"Calm Down","Busta Rhymes Featuring Eminem","Calm DownBusta Rhymes Featuring Eminem"
100,2014-07-19,"Ten Feet Tall","Afrojack Featuring Wrabel","Ten Feet TallAfrojack Featuring Wrabel"
24,2014-08-02,"Everything I Didn't Say","5 Seconds Of Summer","Everything I Didn't Say5 Seconds Of Summer"
92,2014-08-09,"Happy Little Pill","Troye Sivan","Happy Little PillTroye Sivan"
79,2014-08-16,"Chasing The Sun","Hilary Duff","Chasing The SunHilary Duff"
87,2014-08-23,"Wild Life","Jack & Jack","Wild LifeJack & Jack"
76,2014-09-27,"Two Night Town","Jason Aldean","Two Night TownJason Aldean"
98,2014-10-04,"X","Chris Brown","XChris Brown"
99,2014-10-11,"Left Hand Free","alt-J","Left Hand Freealt-J"
69,2014-10-18,"Bumpin' The Night","Florida Georgia Line","Bumpin' The NightFlorida Georgia Line"
98,2014-10-25,"Errrbody","Yo Gotti","ErrrbodyYo Gotti"
78,2014-10-25,"The Days","Avicii","The DaysAvicii"
90,2014-11-01,"I'm Not Gonna Miss You","Glen Campbell","I'm Not Gonna Miss YouGlen Campbell"
71,2014-11-15,"I Won't Let You Down","OK Go","I Won't Let You DownOK Go"
77,2014-11-22,"Ready To Run","One Direction","Ready To RunOne Direction"
87,2014-11-29,"18","One Direction","18One Direction"
88,2014-11-29,"Where Do Broken Hearts Go","One Direction","Where Do Broken Hearts GoOne Direction"
78,2014-12-06,"Baby It's Cold Outside","Idina Menzel Duet With Michael Buble","Baby It's Cold OutsideIdina Menzel Duet With Michael Buble"
63,2014-12-06,"Do They Know It's Christmas? (2014)","Band Aid 30","Do They Know It's Christmas? (2014)Band Aid 30"
99,2014-12-06,"Stockholm Syndrome","One Direction","Stockholm SyndromeOne Direction"
92,2014-12-06,"Take Me To Church","Matt McAndrew","Take Me To ChurchMatt McAndrew"
84,2014-12-13,"I Walk The Line","Craig Wayne Boyd","I Walk The LineCraig Wayne Boyd"
100,2014-12-20,"Royals","Taylor John Williams","RoyalsTaylor John Williams"
40,2014-12-20,"The Blower's Daughter","Matt McAndrew","The Blower's DaughterMatt McAndrew"
93,2014-12-27,"Come Join The Murder","The White Buffalo & The Forest Rangers","Come Join The MurderThe White Buffalo & The Forest Rangers"
90,2014-12-27,"Have Yourself A Merry Little Christmas","Sam Smith","Have Yourself A Merry Little ChristmasSam Smith"
81,2014-12-27,"Make It Rain","Matt McAndrew","Make It RainMatt McAndrew"
59,2014-12-27,"The Old Rugged Cross","Craig Wayne Boyd","The Old Rugged CrossCraig Wayne Boyd"
98,2014-12-27,"When I Was Your Man","Chris Jamison","When I Was Your ManChris Jamison"
88,2015-01-03,"Get On Your Knees","Nicki Minaj Featuring Ariana Grande","Get On Your KneesNicki Minaj Featuring Ariana Grande"
83,2015-01-03,"Lost Stars","Matt McAndrew & Adam Levine","Lost StarsMatt McAndrew & Adam Levine"
63,2015-01-03,"Lost Without U","Chris Jamison & Adam Levine","Lost Without UChris Jamison & Adam Levine"
34,2015-01-03,"My Baby's Got A Smile On Her Face","Craig Wayne Boyd","My Baby's Got A Smile On Her FaceCraig Wayne Boyd"
74,2015-01-03,"Soldier","Damien","SoldierDamien"
53,2015-01-03,"Velvet","Chris Jamison","VelvetChris Jamison"
14,2015-01-03,"Wasted Love","Matt McAndrew","Wasted LoveMatt McAndrew"
95,2015-01-10,"Bad B*tch","French Montana Featuring Jeremih","Bad B*tchFrench Montana Featuring Jeremih"
100,2015-01-10,"Title","Meghan Trainor","TitleMeghan Trainor"
87,2015-01-24,"Best Friends","Sophia Grace","Best FriendsSophia Grace"
90,2015-01-24,"Blank Space","I Prevail","Blank SpaceI Prevail"
94,2015-02-21,"A Little Too Much","Shawn Mendes","A Little Too MuchShawn Mendes"
96,2015-02-21,"Hotel","Kid Ink Featuring Chris Brown","HotelKid Ink Featuring Chris Brown"
98,2015-02-21,"Out The Speakers","A-Trak + Milo & Otis Featuring Rich Kidz","Out The SpeakersA-Trak + Milo & Otis Featuring Rich Kidz"
97,2015-02-28,"I Put A Spell On You","Annie Lennox","I Put A Spell On YouAnnie Lennox"
99,2015-02-28,"Keep Your Money","Empire Cast Featuring Jussie Smollett","Keep Your MoneyEmpire Cast Featuring Jussie Smollett"
95,2015-02-28,"Where You Belong","The Weeknd","Where You BelongThe Weeknd"
83,2015-03-07,"6 God","Drake","6 GodDrake"
97,2015-03-07,"6 Man","Drake","6 ManDrake"
95,2015-03-07,"Now & Forever","Drake","Now & ForeverDrake"
51,2015-03-07,"Wonderland","Taylor Swift","WonderlandTaylor Swift"
80,2015-03-14,"All Your Fault","Big Sean Featuring Kanye West","All Your FaultBig Sean Featuring Kanye West"
66,2015-03-14,"First Kiss","Kid Rock","First KissKid Rock"
99,2015-03-14,"Paradise","Big Sean","ParadiseBig Sean"
83,2015-03-14,"You Are In Love","Taylor Swift","You Are In LoveTaylor Swift"
93,2015-03-21,"Adore","Cashmere Cat Featuring Ariana Grande","AdoreCashmere Cat Featuring Ariana Grande"
96,2015-03-21,"Monster","Meek Mill","MonsterMeek Mill"
84,2015-04-04,"Fairly Local","twenty one pilots","Fairly Localtwenty one pilots"
99,2015-04-04,"Institutionalized","Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg","InstitutionalizedKendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg"
66,2015-04-04,"The Blacker The Berry","Kendrick Lamar","The Blacker The BerryKendrick Lamar"
94,2015-04-04,"These Walls","Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat","These WallsKendrick Lamar Featuring Bilal, Anna Wise & Thundercat"
91,2015-04-04,"Wesley's Theory","Kendrick Lamar Featuring George Clinton & Thundercat","Wesley's TheoryKendrick Lamar Featuring George Clinton & Thundercat"
91,2015-04-11,"Baby Blue","Action Bronson Featuring Chance The Rapper","Baby BlueAction Bronson Featuring Chance The Rapper"
80,2015-04-11,"Failure","Breaking Benjamin","FailureBreaking Benjamin"
98,2015-04-25,"Goodbye","Who Is Fancy","GoodbyeWho Is Fancy"
100,2015-05-02,"House Of The Rising Sun","Kimberly Nichole","House Of The Rising SunKimberly Nichole"
98,2015-05-02,"Imagine","Sawyer Fredericks","ImagineSawyer Fredericks"
40,2015-05-09,"Hallelujah","Panic! At The Disco","HallelujahPanic! At The Disco"
100,2015-05-09,"Iris","Sawyer Fredericks","IrisSawyer Fredericks"
84,2015-05-09,"Make It Rain","Koryn Hawthorne","Make It RainKoryn Hawthorne"
82,2015-05-16,"Infinity","Mariah Carey","InfinityMariah Carey"
71,2015-05-16,"Simple Man","Sawyer Fredericks","Simple ManSawyer Fredericks"
99,2015-05-23,"Shine On","Sawyer Fredericks","Shine OnSawyer Fredericks"
94,2015-05-30,"A Thousand Years","Sawyer Fredericks","A Thousand YearsSawyer Fredericks"
93,2015-05-30,"Beautiful Life","Nick Fradiani","Beautiful LifeNick Fradiani"
92,2015-06-06,"Change My Mind","Meghan Linsey","Change My MindMeghan Linsey"
63,2015-06-06,"Old Man","Sawyer Fredericks","Old ManSawyer Fredericks"
37,2015-06-06,"Please","Sawyer Fredericks","PleaseSawyer Fredericks"
47,2015-06-20,"Phenomenal","Eminem","PhenomenalEminem"
58,2015-06-20,"Ulay, Oh","How I Became The Bomb","Ulay, OhHow I Became The Bomb"
82,2015-06-27,"3500","Travi$ Scott Featuring Future & 2 Chainz","3500Travi$ Scott Featuring Future & 2 Chainz"
93,2015-07-04,"Sparks","Hilary Duff","SparksHilary Duff"
100,2015-07-11,"Check","Young Thug","CheckYoung Thug"
75,2015-07-25,"Love Is Your Name","Steven Tyler","Love Is Your NameSteven Tyler"
95,2015-08-08,"Blow A Bag","Future","Blow A BagFuture"
100,2015-08-08,"Dance Like We're Making Love","Ciara","Dance Like We're Making LoveCiara"
78,2015-08-15,"Fire N Gold","Bea Miller","Fire N GoldBea Miller"
78,2015-08-22,"Charged Up","Drake","Charged UpDrake"
100,2015-08-29,"100 Grandkids","Mac Miller","100 GrandkidsMac Miller"
100,2015-09-05,"Fly Away","5 Seconds Of Summer","Fly Away5 Seconds Of Summer"
100,2015-09-12,"I'm To Blame","Kip Moore","I'm To BlameKip Moore"
95,2015-09-19,"Jet Black Heart","5 Seconds Of Summer","Jet Black Heart5 Seconds Of Summer"
85,2015-09-19,"Losers","The Weeknd Featuring Labrinth","LosersThe Weeknd Featuring Labrinth"
77,2015-09-19,"Roots","Imagine Dragons","RootsImagine Dragons"
83,2015-09-26,"Burn Slow","Wiz Khalifa Featuring Rae Sremmurd","Burn SlowWiz Khalifa Featuring Rae Sremmurd"
92,2015-10-03,"Firestone","Kygo Featuring Conrad","FirestoneKygo Featuring Conrad"
90,2015-10-10,"Runnin' (Lose It All)","Naughty Boy Featuring Beyonce & Arrow Benjamin","Runnin' (Lose It All)Naughty Boy Featuring Beyonce & Arrow Benjamin"
100,2015-10-31,"Love Me","The 1975","Love MeThe 1975"
99,2015-11-07,"Can't Sleep Love","Pentatonix","Can't Sleep LovePentatonix"
82,2015-11-14,"Used To Love You Sober","Kane Brown","Used To Love You SoberKane Brown"
88,2015-11-28,"Halo","Jordan Smith","HaloJordan Smith"
87,2015-11-28,"Traveller","Chris Stapleton","TravellerChris Stapleton"
94,2015-12-05,"A.M.","One Direction","A.M.One Direction"
81,2015-12-05,"Been You","Justin Bieber","Been YouJustin Bieber"
74,2015-12-05,"Children","Justin Bieber","ChildrenJustin Bieber"
90,2015-12-05,"Get Used To It","Justin Bieber","Get Used To ItJustin Bieber"
30,2015-12-05,"Great Is Thy Faithfulness","Jordan Smith","Great Is Thy FaithfulnessJordan Smith"
83,2015-12-05,"If I Could Fly","One Direction","If I Could FlyOne Direction"
100,2015-12-05,"Never Enough","One Direction","Never EnoughOne Direction"
87,2015-12-05,"Olivia","One Direction","OliviaOne Direction"
96,2015-12-05,"Temporary Fix","One Direction","Temporary FixOne Direction"
98,2015-12-05,"Trust","Justin Bieber","TrustJustin Bieber"
88,2015-12-05,"We Are","Justin Bieber Featuring Nas","We AreJustin Bieber Featuring Nas"
87,2015-12-12,"Remedy","Adele","RemedyAdele"
100,2015-12-12,"Rich $ex","Future","Rich $exFuture"
97,2015-12-19,"Daddy","PSY Featuring CL","DaddyPSY Featuring CL"
98,2015-12-19,"Girls Just Want To Have Fun","Madi Davis","Girls Just Want To Have FunMadi Davis"
61,2015-12-19,"Hallelujah","Jordan Smith","HallelujahJordan Smith"
92,2015-12-19,"I'd Just Love To Lay You Down","Barrett Baber","I'd Just Love To Lay You DownBarrett Baber"
98,2015-12-26,"Drifting","G-Eazy Featuring Chris Brown & Tory Lanez","DriftingG-Eazy Featuring Chris Brown & Tory Lanez"
94,2015-12-26,"Random","G-Eazy","RandomG-Eazy"
97,2015-12-26,"Sorry","Rick Ross Featuring Chris Brown","SorryRick Ross Featuring Chris Brown"
56,2016-01-02,"Burning House","Emily Ann Roberts","Burning HouseEmily Ann Roberts"
72,2016-01-02,"Climb Every Mountain","Jordan Smith","Climb Every MountainJordan Smith"
90,2016-01-02,"God Only Knows","Jordan Smith & Adam Levine","God Only KnowsJordan Smith & Adam Levine"
24,2016-01-02,"Mary Did You Know","Jordan Smith","Mary Did You KnowJordan Smith"
81,2016-01-09,"Hallelujah","Lindsey Stirling","HallelujahLindsey Stirling"
91,2016-01-09,"Little More (Royalty)","Chris Brown","Little More (Royalty)Chris Brown"
78,2016-01-30,"Blackstar","David Bowie","BlackstarDavid Bowie"
40,2016-01-30,"Lazarus","David Bowie","LazarusDavid Bowie"
92,2016-02-06,"Death Of A Bachelor","Panic! At The Disco","Death Of A BachelorPanic! At The Disco"
98,2016-02-06,"Lean & Dabb","iLoveMemphis","Lean & DabbiLoveMemphis"
97,2016-02-13,"Bottom Of The Bottle","Curren$Y Featuring August Alsina & Lil Wayne","Bottom Of The BottleCurren$Y Featuring August Alsina & Lil Wayne"
